ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.187328696,2.187325996
16,33554432,536870912,2.071933924,2.071932006
32,16777216,536870912,2.179367603,2.179363412
64,8388608,536870912,2.057505476,2.057501843
128,4194304,536870912,1.999350445,1.999344430
256,2097152,536870912,1.938496034,1.938483559
512,1048576,536870912,1.888358669,1.888337599
1024,524288,536870912,1.920671662,1.920631484
2048,262144,536870912,1.895282971,1.895208327
4096,131072,536870912,1.899219295,1.899070998
8192,65536,536870912,1.815173139,1.814880899
16384,32768,536870912,1.819854934,1.819298140
32768,16384,536870912,1.836306389,1.835023850
65536,8192,536870912,1.808668197,1.806174004
131072,4096,536870912,1.789445381,1.784660485
262144,2048,536870912,1.827776305,1.817871118
524288,1024,536870912,1.933576250,1.914329972
1048576,512,536870912,2.078816433,2.042567800
2097152,256,536870912,2.059434404,1.986542536
4194304,128,536870912,2.144776124,2.001766025
8388608,64,536870912,2.310660596,2.018457558
16777216,32,536870912,2.593344496,2.001660066
33554432,16,536870912,3.296658765,2.140491745
67108864,8,536870912,4.441434623,2.032193479
134217728,4,536870912,6.849226229,2.129644471
268435456,2,536870912,11.760573778,2.250824753
536870912,1,536870912,25.281027002,2.405249392
