ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.962928751,0.962927009
16,33554432,536870912,0.907207668,0.907206629
32,16777216,536870912,0.904760768,0.904759151
64,8388608,536870912,1.059313845,1.059307972
128,4194304,536870912,0.930134543,0.930127247
256,2097152,536870912,0.750002497,0.749991061
512,1048576,536870912,0.689153536,0.689133060
1024,524288,536870912,0.663189146,0.663150620
2048,262144,536870912,0.617197208,0.617117042
4096,131072,536870912,0.641472969,0.641309039
8192,65536,536870912,0.623998036,0.623679440
16384,32768,536870912,0.616242919,0.615610594
32768,16384,536870912,0.624731413,0.623436268
65536,8192,536870912,0.650764041,0.648109518
131072,4096,536870912,0.650084572,0.644874650
262144,2048,536870912,0.662373080,0.652048621
524288,1024,536870912,0.720953171,0.699748298
1048576,512,536870912,0.820820199,0.778829160
2097152,256,536870912,1.014180610,0.928614884
4194304,128,536870912,1.186750089,1.017142840
8388608,64,536870912,1.413077821,1.064288569
16777216,32,536870912,1.739533769,1.057413365
33554432,16,536870912,2.423007145,1.054145378
67108864,8,536870912,3.774497931,1.047201731
134217728,4,536870912,6.491893984,1.039607155
268435456,2,536870912,11.918398454,1.038418238
536870912,1,536870912,73.762553397,51.575429102
