ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.951324380,0.951322432
16,33554432,536870912,0.909697323,0.909696036
32,16777216,536870912,0.911889605,0.911888002
64,8388608,536870912,0.901152596,0.901146931
128,4194304,536870912,0.855224652,0.855218468
256,2097152,536870912,0.749203765,0.749191619
512,1048576,536870912,0.687983303,0.687963572
1024,524288,536870912,0.651982818,0.651943243
2048,262144,536870912,0.629561534,0.629482476
4096,131072,536870912,0.637354545,0.637196161
8192,65536,536870912,0.630672680,0.630360131
16384,32768,536870912,0.627819439,0.627179883
32768,16384,536870912,0.638131335,0.636838692
65536,8192,536870912,0.629731070,0.627129320
131072,4096,536870912,0.639001303,0.633803607
262144,2048,536870912,0.708843886,0.698507785
524288,1024,536870912,0.754381723,0.733530814
1048576,512,536870912,0.826292826,0.784362323
2097152,256,536870912,1.001448105,0.917144295
4194304,128,536870912,1.177682845,1.007878967
8388608,64,536870912,1.390771305,1.048153984
16777216,32,536870912,1.733094415,1.051246599
33554432,16,536870912,2.417464272,1.054263978
67108864,8,536870912,3.768505723,1.046420283
134217728,4,536870912,6.483912863,1.037747497
268435456,2,536870912,12.015160036,1.052945814
536870912,1,536870912,72.256461196,50.004168925
