ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.955807794,0.955805832
16,33554432,536870912,0.912860392,0.912859119
32,16777216,536870912,0.907629499,0.907627892
64,8388608,536870912,0.893812478,0.893806190
128,4194304,536870912,0.849249422,0.849241510
256,2097152,536870912,0.758871497,0.758858718
512,1048576,536870912,0.707101705,0.707079724
1024,524288,536870912,0.657823565,0.657780455
2048,262144,536870912,0.649821369,0.649741854
4096,131072,536870912,0.631577434,0.631417105
8192,65536,536870912,0.625812341,0.625501076
16384,32768,536870912,0.620471670,0.619839197
32768,16384,536870912,0.627350501,0.626058041
65536,8192,536870912,0.664642451,0.662067615
131072,4096,536870912,0.697033311,0.691859775
262144,2048,536870912,0.675593151,0.665249593
524288,1024,536870912,0.714042039,0.693005122
1048576,512,536870912,0.823508714,0.781503009
2097152,256,536870912,1.020247686,0.935776062
4194304,128,536870912,1.185006027,1.014874429
8388608,64,536870912,1.384212182,1.043804082
16777216,32,536870912,1.746664424,1.063869946
33554432,16,536870912,2.440617455,1.064996060
67108864,8,536870912,3.828509580,1.074040656
134217728,4,536870912,6.513711634,1.048137761
268435456,2,536870912,15.765237574,4.229370025
536870912,1,536870912,79.299610620,57.183488013
