ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.947476798,0.947474979
16,33554432,536870912,0.917407797,0.917406676
32,16777216,536870912,0.910098743,0.910097129
64,8388608,536870912,0.953904919,0.953898820
128,4194304,536870912,0.856440265,0.856432212
256,2097152,536870912,0.760143472,0.760131121
512,1048576,536870912,0.693245414,0.693224210
1024,524288,536870912,0.658035989,0.657995720
2048,262144,536870912,0.643593142,0.643512930
4096,131072,536870912,0.653351642,0.653188923
8192,65536,536870912,0.647769614,0.647452917
16384,32768,536870912,0.636750585,0.636102130
32768,16384,536870912,0.683897645,0.682563357
65536,8192,536870912,0.686847144,0.684198404
131072,4096,536870912,0.669947362,0.664622555
262144,2048,536870912,0.679337893,0.668877642
524288,1024,536870912,0.719238804,0.697965335
1048576,512,536870912,0.839763240,0.796864564
2097152,256,536870912,1.061533251,0.974305640
4194304,128,536870912,1.214717392,1.041962351
8388608,64,536870912,1.404052003,1.060438526
16777216,32,536870912,1.762150508,1.070487531
33554432,16,536870912,2.451167153,1.066711880
67108864,8,536870912,3.822536586,1.056476849
134217728,4,536870912,6.587757246,1.049402735
268435456,2,536870912,12.104813169,1.077314884
536870912,1,536870912,75.479597199,52.961979400
