ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.891804790,1.891802082
16,33554432,536870912,1.737990192,1.737989189
32,16777216,536870912,1.897436784,1.897433500
64,8388608,536870912,1.729274229,1.729272362
128,4194304,536870912,1.726186418,1.726182912
256,2097152,536870912,1.685044021,1.685035499
512,1048576,536870912,1.657600256,1.657583640
1024,524288,536870912,1.640520264,1.640488544
2048,262144,536870912,1.619290542,1.619228749
4096,131072,536870912,1.611594993,1.611474989
8192,65536,536870912,1.609394199,1.609151202
16384,32768,536870912,1.610332340,1.609816349
32768,16384,536870912,1.614985179,1.613893975
65536,8192,536870912,1.619969014,1.617804566
131072,4096,536870912,1.634746172,1.630387175
262144,2048,536870912,1.685014447,1.676228313
524288,1024,536870912,1.669318739,1.652868152
1048576,512,536870912,1.717983639,1.687003645
2097152,256,536870912,1.793099784,1.730384879
4194304,128,536870912,1.853396379,1.727721851
8388608,64,536870912,1.974455899,1.723448895
16777216,32,536870912,2.233919420,1.732778764
33554432,16,536870912,2.778456146,1.754007712
67108864,8,536870912,3.723589230,1.722355636
134217728,4,536870912,5.724539928,1.723284399
268435456,2,536870912,9.778101948,1.774435851
536870912,1,536870912,17.865147143,1.774573817

