ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.287597529,2.287565768
16,33554432,536870912,2.166809748,2.166808214
32,16777216,536870912,2.201398868,2.201397242
64,8388608,536870912,2.194412040,2.194409540
128,4194304,536870912,2.094477707,2.094470703
256,2097152,536870912,2.059196742,2.059186965
512,1048576,536870912,2.106664308,2.106646163
1024,524288,536870912,2.088907023,2.088871226
2048,262144,536870912,2.108563180,2.108498608
4096,131072,536870912,2.108403544,2.108272480
8192,65536,536870912,2.125653421,2.125393611
16384,32768,536870912,2.051759130,2.051223448
32768,16384,536870912,2.115650675,2.114488714
65536,8192,536870912,2.083230779,2.080913092
131072,4096,536870912,2.087082844,2.082439962
262144,2048,536870912,2.134704785,2.125432039
524288,1024,536870912,2.174516358,2.157137975
1048576,512,536870912,2.298089595,2.264482247
2097152,256,536870912,2.326850898,2.255708011
4194304,128,536870912,2.439563562,2.305934254
8388608,64,536870912,2.678969206,2.411339156
16777216,32,536870912,2.829862015,2.281164790
33554432,16,536870912,3.305703610,2.235318927
67108864,8,536870912,4.327269662,2.212024456
134217728,4,536870912,6.464042748,2.211928829
268435456,2,536870912,10.700407899,2.226100519
536870912,1,536870912,19.035601502,2.213978168
