ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.673288407,1.673256584
16,33554432,536870912,1.593314071,1.593312707
32,16777216,536870912,1.742216604,1.742215088
64,8388608,536870912,1.641533208,1.641530201
128,4194304,536870912,1.610494593,1.610486910
256,2097152,536870912,1.594975892,1.594963497
512,1048576,536870912,1.617989151,1.617968760
1024,524288,536870912,1.606268340,1.606229816
2048,262144,536870912,1.610069226,1.609998748
4096,131072,536870912,1.615679323,1.615538284
8192,65536,536870912,1.613016164,1.612733387
16384,32768,536870912,1.621003372,1.620435571
32768,16384,536870912,1.616836688,1.615641341
65536,8192,536870912,1.618981797,1.616632193
131072,4096,536870912,1.645574347,1.640800678
262144,2048,536870912,1.663885608,1.654079567
524288,1024,536870912,1.655696945,1.637267900
1048576,512,536870912,1.706204201,1.672007065
2097152,256,536870912,1.800347140,1.731461513
4194304,128,536870912,1.873813087,1.735697403
8388608,64,536870912,1.960022185,1.692363175
16777216,32,536870912,2.222057078,1.689446524
33554432,16,536870912,2.753168111,1.690285362
67108864,8,536870912,3.920844777,1.740863361
134217728,4,536870912,5.942652839,1.689891595
268435456,2,536870912,10.206286340,1.694106296
536870912,1,536870912,18.580123430,1.662499931
